Date,BTC-USD,GLD,SPY,TLT
2021-12-28,47588.85546875,168.63999938964844,451.0805969238281,128.75985717773438
2021-12-29,46444.7109375,168.58999633789062,451.6576232910156,127.35320281982422
2021-12-30,47178.125,169.8000030517578,450.40899658203125,128.4211883544922
2021-12-31,46306.4453125,170.9600067138672,449.27386474609375,128.6730194091797
2022-01-03,46458.1171875,168.3300018310547,451.8751525878906,125.29534149169922
2022-01-04,45897.57421875,169.57000732421875,451.7238464355469,124.7743911743164
2022-01-05,43569.00390625,169.05999755859375,443.04974365234375,124.09715270996094
2022-01-06,43160.9296875,166.99000549316406,442.6335144042969,124.4183578491211
2022-01-07,41557.90234375,167.75,440.8835754394531,123.52400970458984
2022-01-10,41821.26171875,168.25999450683594,440.3349609375,123.82792663574219
2022-01-11,42735.85546875,170.2899932861328,444.3456115722656,124.6528549194336
2022-01-12,43949.1015625,170.74000549316406,445.5469970703125,124.17527770996094
2022-01-13,42591.5703125,170.16000366210938,439.407958984375,125.27800750732422
2022-01-14,43099.69921875,169.6699981689453,439.5876770019531,123.38511657714844
2022-01-18,42375.6328125,169.38999938964844,431.8027648925781,121.64855194091797
2022-01-19,41744.328125,172.0800018310547,427.3190612792969,122.4908218383789
2022-01-20,40680.41796875,171.64999389648438,422.5894775390625,123.2461929321289
2022-01-21,36457.31640625,171.08999633789062,414.2937927246094,124.713623046875
2022-01-24,36654.328125,172.02999877929688,416.0531311035156,123.68902587890625
2022-01-25,36954.00390625,172.5800018310547,410.9736022949219,123.48929595947266
2022-01-26,36852.12109375,169.7899932861328,409.94256591796875,121.99584197998047
2022-01-27,37138.234375,167.60000610351562,407.91827392578125,124.23603820800781
2022-01-28,37784.33203125,167.10000610351562,418.049072265625,124.27947998046875
2022-01-31,38483.125,168.08999633789062,425.57861328125,123.63694763183594
2022-02-01,38743.2734375,168.22999572753906,428.4542541503906,123.22653198242188
2022-02-02,36952.984375,168.83999633789062,432.6162414550781,123.64389038085938
2022-02-03,37154.6015625,168.60000610351562,422.4476318359375,122.67872619628906
2022-02-04,41500.875,168.86000061035156,424.43402099609375,120.87020111083984
2022-02-07,43840.28515625,170.11000061035156,423.0719299316406,120.9484634399414
2022-02-08,44118.4453125,170.6300048828125,426.5528869628906,120.13973236083984
2022-02-09,44338.796875,171.2100067138672,432.79595947265625,120.36582946777344
2022-02-10,43565.11328125,170.55999755859375,425.02056884765625,118.4529037475586
2022-02-11,42407.9375,173.80999755859375,416.63958740234375,120.20926666259766
2022-02-14,42586.91796875,174.74000549316406,415.27752685546875,118.7137680053711
2022-02-15,44575.203125,173.0800018310547,421.97467041015625,117.36602020263672
2022-02-16,43961.859375,174.86000061035156,422.4476318359375,118.06159973144531
2022-02-17,40538.01171875,177.25,413.4235534667969,118.93983459472656
2022-02-18,40030.9765625,177.1199951171875,410.74658203125,120.19193267822266
2022-02-22,38286.02734375,177.49000549316406,406.33856201171875,120.50495910644531
2022-02-23,37296.5703125,178.2899932861328,399.1307373046875,118.84417724609375
2022-02-24,38332.609375,177.13999938964844,405.13726806640625,118.92245483398438
2022-02-25,39214.21875,176.5500030517578,414.0762023925781,119.00936889648438
2022-02-28,43193.234375,178.3800048828125,413.016845703125,121.61791229248047
2022-03-01,44354.63671875,181.6199951171875,406.7264404296875,123.02400970458984
2022-03-02,43924.1171875,179.72999572753906,414.2086486816406,118.81875610351562
2022-03-03,42451.7890625,180.8000030517578,412.14654541015625,120.02896118164062
2022-03-04,39137.60546875,183.67999267578125,408.7979736328125,122.10111236572266
2022-03-07,38062.0390625,186.41000366210938,396.7469482421875,121.1695327758789
2022-03-08,38737.26953125,191.50999450683594,393.7389831542969,119.95061492919922
2022-03-09,41982.92578125,185.82000732421875,404.29534912109375,118.77520751953125
2022-03-10,39437.4609375,186.39999389648438,402.4698181152344,117.06874084472656
2022-03-11,38794.97265625,185.08999633789062,397.352294921875,117.46053314208984
2022-03-14,39666.75390625,182.3000030517578,394.4483947753906,114.71792602539062
2022-03-15,39338.78515625,178.88999938964844,403.1224365234375,114.5177001953125
2022-03-16,41143.9296875,180.00999450683594,412.0614013671875,115.64085388183594
2022-03-17,40951.37890625,180.88999938964844,417.21673583984375,114.77886962890625
2022-03-18,41801.15625,179.3000030517578,421.786376953125,116.1806640625
2022-03-21,41077.99609375,180.6699981689453,421.66302490234375,113.49031066894531
2022-03-22,42358.80859375,179.36000061035156,426.5970764160156,112.03630065917969
2022-03-23,42892.95703125,181.80999755859375,421.1031188964844,114.49154663085938
2022-03-24,43960.93359375,183.1300048828125,427.4510803222656,113.59477996826172
2022-03-25,44348.73046875,182.3800048828125,429.53857421875,112.0188980102539
2022-03-28,47128.00390625,179.05999755859375,432.59381103515625,112.97661590576172
2022-03-29,47465.73046875,179.13999938964844,437.9454345703125,113.82987213134766
2022-03-30,47062.6640625,180.5800018310547,435.2411804199219,114.71792602539062
2022-03-31,45538.67578125,180.64999389648438,428.542236328125,114.99657440185547
2022-04-01,46281.64453125,179.5,429.75677490234375,115.43431854248047
2022-04-04,46622.67578125,180.3699951171875,433.4383544921875,114.63206481933594
2022-04-05,45555.9921875,179.24000549316406,427.9634094238281,112.04225158691406
2022-04-06,43206.73828125,179.66000366210938,423.6840515136719,111.13536834716797
2022-04-07,43503.84765625,180.33999633789062,425.8189697265625,110.29825592041016
